Number,Company,Power (MW),Energy (MWh)
1,ARENKO CLEANTECH LIMITED,49.9,74.85
2,ARENKO CLEANTECH LIMITED,41,61.5
3,HC ESS2 Limited,30,30
4,Roaring Hill Energy Storage Ltd,30,30
5,ARENKO CLEANTECH LIMITED,29.9,44.85
6,BESS Aylesford Limited,29,29
7,TYNEMOUTH ENERGY STORAGE LIMITED,25,12.5
8,UK Energy Storage Services Limited,20,10
9,BSR Energy Limited,20,20
10,BESS Claredown Limited,20,20
11,ARENKO CLEANTECH LIMITED,19.9,29.85
12,FPC (Ipswich) Limited,16.71,16.71
13,ORIGAMI ENERGY LIMITED,10,5
14,Rounponds Energy Limited,10,5
15,OSSPV001 LIMITED,9,4.5
16,Limejump Ltd.,7.5,7.5
17,GBSL DORKING LIMITED,6,6
18,West Midlands Grid Storage Two Ltd,5,5
19,BSR Energy Limited,4.45,4.45
20,Limejump Ltd.,4.011,4.011
21,KiWi Power Ltd,4,4
22,BSR Energy Limited,3.5,3.5
23,Lightsource SPV 183 Limited,3,3
24,Limejump Ltd.,3,3
25,British Gas Trading Limited,2.88,2.88
26,ORSTED BURBO (UK) LIMITED,2,2
27,Veolia UK Limited,2,7
